"meldelandkreis";"Jahr";"MW";" keine Angaben";"VOC";"andere Varianten"
"LK Berchtesgadener Land";"2021";"18";40;23;0
"LK Berchtesgadener Land";"2021";"19";40;77;0
"LK Berchtesgadener Land";"2021";"20";51;42;0
"LK Berchtesgadener Land";"2021";"21";38;42;0
"LK Berchtesgadener Land";"2021";"22";8;13;1
"LK Berchtesgadener Land";"2021";"23";36;8;0
"LK Berchtesgadener Land";"2021";"24";9;4;1
"LK Berchtesgadener Land";"2021";"25";6;5;0
"LK Berchtesgadener Land";"2021";"26";4;5;0
"LK Berchtesgadener Land";"2021";"27";10;3;0
"LK Berchtesgadener Land";"2021";"28";10;1;0
"LK Berchtesgadener Land";"2021";"29";50;15;0
"LK Berchtesgadener Land";"2021";"30";24;33;0
"LK Berchtesgadener Land";"2021";"31";33;24;0
"LK Berchtesgadener Land";"2021";"32";37;22;0
"LK Berchtesgadener Land";"2021";"33";40;38;0
"LK Berchtesgadener Land";"2021";"34";29;58;0
"LK Berchtesgadener Land";"2021";"35";44;100;0
"LK Berchtesgadener Land";"2021";"36";90;140;1
"LK Berchtesgadener Land";"2021";"37";85;128;0
"LK Berchtesgadener Land";"2021";"38";113;86;1
"LK Berchtesgadener Land";"2021";"39";106;148;0
"LK Berchtesgadener Land";"2021";"40";142;125;8
"LK Berchtesgadener Land";"2021";"41";201;183;0
"LK Berchtesgadener Land";"2021";"42";331;191;2
"LK Berchtesgadener Land";"2021";"43";329;261;6
"LK Berchtesgadener Land";"2021";"44";340;427;0
"LK Berchtesgadener Land";"2021";"45";670;561;0
"LK Berchtesgadener Land";"2021";"46";821;402;0
"LK Cham";"2021";"01";301;1;0
"LK Cham";"2021";"02";175;2;1
"LK Cham";"2021";"03";144;1;0
"LK Cham";"2021";"04";148;19;2
"LK Cham";"2021";"05";94;35;2
"LK Cham";"2021";"06";37;53;15
"LK Cham";"2021";"07";45;81;7
"LK Cham";"2021";"08";33;155;2
"LK Cham";"2021";"09";36;158;0
"LK Cham";"2021";"10";38;212;2
"LK Cham";"2021";"11";46;309;6
"LK Cham";"2021";"12";47;371;5
"LK Cham";"2021";"13";53;310;1
"LK Cham";"2021";"14";45;320;6
"LK Cham";"2021";"15";56;240;7
"LK Cham";"2021";"16";39;255;1
"LK Cham";"2021";"17";49;191;5
